geoname_id,cou_name_en,ascii_name,country_code
3041563,Andorra la Vella,AD,20430
292223,Dubai,AE,3478300
1138958,Kabul,AF,4434550
3576022,Saint John’s,AG,24226
3573374,The Valley,AI,2035
3183875,Tirana,AL,418495
616052,Yerevan,AM,1093485
2240449,Luanda,AO,2776168
6696480,McMurdo Station,AQ,1258
3435910,Buenos Aires,AR,2891082
5881576,Pago Pago,AS,11500
2761369,Vienna,AT,1691468
2147714,Sydney,AU,5231147
3577154,Oranjestad,AW,29998
3041732,Mariehamn,AX,10682
587084,Baku,AZ,1116513
3191281,Sarajevo,BA,696731
3374036,Bridgetown,BB,98511
2800866,Brussels,BE,1019022
2357048,Ouagadougou,BF,1086505
727011,Sofia,BG,1152556
385038,Ar Rifā‘,BH,195606
425378,Bujumbura,BI,1000000
2394819,Cotonou,BJ,780000
3579132,Gustavia,BL,5988
3573061,Saint George,BM,1896
1820906,Bandar Seri Begawan,BN,64409
3911925,La Paz,BO,2004652
3513563,Kralendijk,BQ,3081
3571824,Nassau,BS,227940
1252416,Thimphu,BT,98676
933773,Gaborone,BW,208411
625144,Minsk,BY,1742124
3582677,Belize City,BZ,61461
6167865,Toronto,CA,2600000
7304591,West Island,CC,120
2314302,Kinshasa,CD,7785965
2389853,Bangui,CF,542393
2260535,Brazzaville,CG,1284609
2657896,Zürich,CH,341730
2293538,Abidjan,CI,6321017
4035715,Avarua,CK,13373
3871336,Santiago,CL,4837295
2232593,Douala,CM,1338082
3688689,Bogotá,CO,7674366
3621849,San José,CR,335007
3553478,Havana,CU,2163824
3374333,Praia,CV,113364
3513090,Willemstad,CW,125000
2078127,Flying Fish Cove,CX,500
146268,Nicosia,CY,200452
3067696,Prague,CZ,1165581
2950159,Berlin,DE,3426354
223817,Djibouti,DJ,623891
2618425,Copenhagen,DK,1153615
3575635,Roseau,DM,16571
3492908,Santo Domingo,DO,2201941
2507480,Algiers,DZ,1977663
3652462,Quito,EC,2781641
588409,Tallinn,EE,394024
360630,Cairo,EG,9606916
2462881,Laayoune,EH,196331
343300,Asmara,ER,563930
3117735,Madrid,ES,3255944
344979,Addis Ababa,ET,2757729
658225,Helsinki,FI,658864
